1222,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"112,77","112,77"
1222,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"247,05","247,05"
1222,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"1604,19","1604,19"
1222,RAINFOREST,VIAJES_RF,ALQUILER DE VEHÍCULOS,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"1604,19","1604,19"
1222,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"1604,19","1604,19"
1222,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"440,43","440,43"
1222,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.1 / 7 / 7.5,Construcción de las Agendas Estratégicas de APs,1,"1604,19","1604,19"
1223,AAF_10,CONSULTORES_AAF,CONSULTOR 1,B5.1 ,Plan de Vida Tacana II,1,0,0
1231,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.5 / 2 / 2.6,Elaboración de los Planes de Control y Vigilancia,1,"63922,07","63922,07"
1231,RAINFOREST,SERVICIOS_PROFESIONALES_Y_DE_CONSULTORÍA_RF,CONSULTORES,A2.5 / 2 / 2.8,Elaboración de otros documentos relacionados a los Planes de Control y Vigilancia,1,"50013,72","50013,72"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALIMENTACIÓN / VÍVERES,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"13886,43","13886,43"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,HERRAMIENTAS VARIAS,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"20018,61","20018,61"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,COMBUSTIBLE,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"17330,35","17330,35"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,INSUMOS Y EQUIPAMIENTO,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"14653,53","14653,53"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,MANTENIMIENTO DE VEHÍCULOS,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"19516,65","19516,65"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,HOSPEDAJE NACIONAL,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"18768,61","18768,61"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,VIÁTICOS,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"457,12","457,12"
